Time,Device name,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Temperature(℃)
 21:37:41.475,COM3, -0.237, 0.044, 0.923, 125.244, 26.306, -13.123, -5.889, -1.456, 16.919, 35.12,
 21:37:42.154,COM3, -0.235, 0.179, 0.963, 3.540, -1.221, 0.000, 10.514, 13.623, 0.000, 35.12,
 21:37:42.155,COM3, -0.231, 0.179, 0.962, 1.038, -0.244, 0.244, 10.519, 13.502, 0.000, 35.10,
 21:37:42.155,COM3, -0.224, 0.177, 0.964, 0.854, -0.366, 0.549, 10.410, 13.250, 0.000, 35.12,
 21:37:42.155,COM3, -0.226, 0.181, 0.961, 2.808, -1.099, 0.244, 10.673, 12.909, 0.000, 35.13,
 21:37:42.155,COM3, -0.225, 0.182, 0.958, -0.549, 0.305, 0.244, 10.734, 13.057, 0.000, 35.12,
 21:37:42.155,COM3, -0.227, 0.189, 0.961, 2.808, -1.160, 0.671, 11.124, 12.920, 0.000, 35.12,
 21:37:42.155,COM3, -0.246, 0.192, 0.966, 0.610, 0.671, -0.427, 11.255, 12.980, 0.000, 35.11,
 21:37:42.155,COM3, -0.221, 0.173, 0.954, -1.770, 1.038, 0.000, 10.267, 14.244, 0.000, 35.16,
 21:37:42.155,COM3, -0.226, 0.206, 0.967, 3.113, -2.197, 0.000, 12.003, 12.585, 0.000, 35.11,
 21:37:42.156,COM3, -0.230, 0.178, 0.984, -3.113, 0.977, -0.305, 10.261, 12.733, 0.000, 35.13,
 21:37:42.156,COM3, -0.234, 0.214, 0.994, 1.709, 0.000, -0.488, 10.377, 12.706, -0.016, 35.12,
 21:37:42.156,COM3, -0.229, 0.183, 0.948, 0.671, -0.427, 0.366, 10.388, 12.711, -0.027, 35.13,
 21:37:42.156,COM3, -0.205, 0.188, 0.954, -0.854, 0.000, 0.549, 10.426, 12.684, -0.005, 35.12,
 21:37:42.158,COM3, -0.214, 0.187, 0.986, 1.465, -1.648, 0.854, 10.503, 12.590, 0.005, 35.13,
 21:37:42.216,COM3, -0.231, 0.201, 0.991, 1.831, -2.686, 0.000, 10.624, 12.535, 0.011, 35.12,
 21:37:42.983,COM3, -0.219, 0.197, 0.974, -0.793, -0.244, 0.305, 10.574, 12.590, 0.033, 35.12,
 21:37:43.033,COM3, -0.216, 0.192, 0.967, -0.244, 0.000, 0.305, 11.250, 12.535, 0.000, 35.15,
 21:37:43.082,COM3, -0.218, 0.187, 0.972, 1.038, -0.671, 0.000, 10.887, 12.294, 0.000, 35.16,
 21:37:43.131,COM3, -0.225, 0.189, 0.968, 0.000, 0.000, 0.000, 11.069, 12.475, 0.000, 35.14,
 21:37:43.180,COM3, -0.227, 0.195, 0.960, 0.977, 0.000, 0.000, 11.470, 12.914, 0.000, 35.15,
 21:37:43.229,COM3, -0.223, 0.192, 0.961, -0.183, 0.244, 0.000, 11.288, 13.019, 0.000, 35.12,
